SOUTH FLORIDA WATER MANAGEMENT DISTRICT
NEXRAD QUERY RESULTS
Radar Rainfall in Inches

POLYGON, DATE, TIME, VALUE, FREQUENCY, QUALITY
CAPE SABLE, 09/28/2022, 0400,   0.000, H, NRT
CAPE SABLE, 09/28/2022, 0500,   0.023, H, NRT
CAPE SABLE, 09/28/2022, 0600,   0.003, H, NRT
CAPE SABLE, 09/28/2022, 0700,   0.123, H, NRT
CAPE SABLE, 09/28/2022, 0800,   0.021, H, NRT
CAPE SABLE, 09/28/2022, 0900,   0.035, H, NRT
CAPE SABLE, 09/28/2022, 1000,   0.087, H, NRT
CAPE SABLE, 09/28/2022, 1100,   0.023, H, NRT
CAPE SABLE, 09/28/2022, 1200,   0.114, H, NRT
CAPE SABLE, 09/28/2022, 1300,   0.025, H, NRT
CAPE SABLE, 09/28/2022, 1400,   0.013, H, NRT
CAPE SABLE, 09/28/2022, 1800,   0.005, H, NRT
CAPE SABLE, 09/28/2022, 1900,   0.005, H, NRT
CAPE SABLE, 09/28/2022, 2000,   0.000, H, NRT
CAPE SABLE, 09/28/2022, 2100,   0.012, H, NRT
CAPE SABLE, 09/28/2022, 2200,   0.008, H, NRT
CAPE SABLE, 09/28/2022, 2300,   0.000, H, NRT
CAPE SABLE, 10/01/2022, 1900,   0.000, H, NRT
CAPE SABLE, 10/01/2022, 2000,   0.003, H, NRT
CAPE SABLE, 10/01/2022, 2100,   0.002, H, NRT
CAPE SABLE, 10/01/2022, 2200,   0.000, H, NRT
CATFISH CREEK, 09/28/2022, 0000,   0.044, H, NRT
CATFISH CREEK, 09/28/2022, 0100,   0.036, H, NRT
CATFISH CREEK, 09/28/2022, 0200,   0.029, H, NRT
CATFISH CREEK, 09/28/2022, 0300,   0.168, H, NRT
CATFISH CREEK, 09/28/2022, 0400,   0.149, H, NRT
CATFISH CREEK, 09/28/2022, 0500,   0.173, H, NRT
CATFISH CREEK, 09/28/2022, 0600,   0.129, H, NRT
CATFISH CREEK, 09/28/2022, 0700,   0.072, H, NRT
CATFISH CREEK, 09/28/2022, 0800,   0.129, H, NRT
CATFISH CREEK, 09/28/2022, 0900,   0.092, H, NRT
CATFISH CREEK, 09/28/2022, 1000,   0.008, H, NRT
CATFISH CREEK, 09/28/2022, 1100,   0.055, H, NRT
CATFISH CREEK, 09/28/2022, 1200,   0.198, H, NRT
CATFISH CREEK, 09/28/2022, 1300,   0.320, H, NRT
CATFISH CREEK, 09/28/2022, 1400,   0.050, H, NRT
CATFISH CREEK, 09/28/2022, 1600,   0.000, H, NRT
CATFISH CREEK, 09/28/2022, 1700,   0.086, H, NRT
CATFISH CREEK, 09/28/2022, 1800,   0.441, H, NRT
CATFISH CREEK, 09/28/2022, 1900,   0.635, H, NRT
CATFISH CREEK, 09/28/2022, 2000,   0.542, H, NRT
CATFISH CREEK, 09/28/2022, 2100,   1.128, H, NRT
CATFISH CREEK, 09/28/2022, 2200,   1.058, H, NRT
CATFISH CREEK, 09/28/2022, 2300,   0.913, H, NRT
CATFISH CREEK, 09/29/2022, 0000,   0.164, H, NRT
CATFISH CREEK, 09/29/2022, 0100,   0.348, H, NRT
CATFISH CREEK, 09/29/2022, 0200,   0.063, H, NRT
CATFISH CREEK, 09/29/2022, 0400,   0.000, H, NRT
CATFISH CREEK, 09/29/2022, 0500,   0.008, H, NRT
CATFISH CREEK, 09/29/2022, 0600,   0.010, H, NRT
CATFISH CREEK, 09/29/2022, 0700,   0.246, H, NRT
CATFISH CREEK, 09/29/2022, 0800,   0.320, H, NRT
CATFISH CREEK, 09/29/2022, 0900,   0.004, H, NRT
CHARLOTTE HARBOR, 09/28/2022, 0000,   0.104, H, NRT
CHARLOTTE HARBOR, 09/28/2022, 0100,   0.187, H, NRT
CHARLOTTE HARBOR, 09/28/2022, 0200,   0.332, H, NRT
CHARLOTTE HARBOR, 09/28/2022, 0300,   0.292, H, NRT
CHARLOTTE HARBOR, 09/28/2022, 0400,   0.462, H, NRT
CHARLOTTE HARBOR, 09/28/2022, 0500,   0.330, H, NRT
CHARLOTTE HARBOR, 09/28/2022, 0600,   0.243, H, NRT
CHARLOTTE HARBOR, 09/28/2022, 0700,   0.361, H, NRT
CHARLOTTE HARBOR, 09/28/2022, 0800,   0.237, H, NRT
CHARLOTTE HARBOR, 09/28/2022, 0900,   0.224, H, NRT
CHARLOTTE HARBOR, 09/28/2022, 1000,   0.073, H, NRT
CHARLOTTE HARBOR, 09/28/2022, 1100,   0.268, H, NRT
CHARLOTTE HARBOR, 09/28/2022, 1200,   0.706, H, NRT
CHARLOTTE HARBOR, 09/28/2022, 1300,   0.842, H, NRT
CHARLOTTE HARBOR, 09/28/2022, 1400,   0.250, H, NRT
CHARLOTTE HARBOR, 09/28/2022, 1500,   0.025, H, NRT
CHARLOTTE HARBOR, 09/28/2022, 1600,   0.105, H, NRT
CHARLOTTE HARBOR, 09/28/2022, 1700,   0.366, H, NRT
CHARLOTTE HARBOR, 09/28/2022, 1800,   0.990, H, NRT
CHARLOTTE HARBOR, 09/28/2022, 1900,   0.457, H, NRT
CHARLOTTE HARBOR, 09/28/2022, 2000,   0.481, H, NRT
CHARLOTTE HARBOR, 09/28/2022, 2100,   0.038, H, NRT
CHATAM/TURNER, 09/28/2022, 0000,   0.000, H, NRT
CHATAM/TURNER, 09/28/2022, 0100,   0.000, H, NRT
CHATAM/TURNER, 09/28/2022, 0200,   0.004, H, NRT
CHATAM/TURNER, 09/28/2022, 0300,   0.075, H, NRT
CHATAM/TURNER, 09/28/2022, 0400,   0.054, H, NRT
CHATAM/TURNER, 09/28/2022, 0500,   0.083, H, NRT
CHATAM/TURNER, 09/28/2022, 0600,   0.063, H, NRT
CHATAM/TURNER, 09/28/2022, 0700,   0.076, H, NRT
CHATAM/TURNER, 09/28/2022, 0800,   0.099, H, NRT
CHATAM/TURNER, 09/28/2022, 0900,   0.393, H, NRT
CHATAM/TURNER, 09/28/2022, 1000,   0.133, H, NRT
CHATAM/TURNER, 09/28/2022, 1100,   0.062, H, NRT
CHATAM/TURNER, 09/28/2022, 1200,   0.037, H, NRT
CHATAM/TURNER, 09/28/2022, 1300,   0.002, H, NRT
CHATAM/TURNER, 09/28/2022, 1600,   0.000, H, NRT
CHATAM/TURNER, 09/28/2022, 1700,   0.005, H, NRT
CHATAM/TURNER, 09/28/2022, 1800,   0.001, H, NRT
CHATAM/TURNER, 09/28/2022, 1900,   0.006, H, NRT
CHATAM/TURNER, 09/28/2022, 2000,   0.000, H, NRT
CHATAM/TURNER, 09/28/2022, 2100,   0.000, H, NRT
CHATAM/TURNER, 09/28/2022, 2200,   0.001, H, NRT
CHATAM/TURNER, 09/29/2022, 0200,   0.000, H, NRT
CHATAM/TURNER, 10/01/2022, 2000,   0.000, H, NRT
CHATAM/TURNER, 10/01/2022, 2100,   0.001, H, NRT
COASTAL BASINS, 09/28/2022, 0000,   0.013, H, NRT
COASTAL BASINS, 09/28/2022, 0100,   0.050, H, NRT
COASTAL BASINS, 09/28/2022, 0200,   0.182, H, NRT
COASTAL BASINS, 09/28/2022, 0300,   0.153, H, NRT
COASTAL BASINS, 09/28/2022, 0400,   0.119, H, NRT
COASTAL BASINS, 09/28/2022, 0500,   0.040, H, NRT
COASTAL BASINS, 09/28/2022, 0600,   0.215, H, NRT
COASTAL BASINS, 09/28/2022, 0700,   0.206, H, NRT
COASTAL BASINS, 09/28/2022, 0800,   0.228, H, NRT
COASTAL BASINS, 09/28/2022, 0900,   0.049, H, NRT
COASTAL BASINS, 09/28/2022, 1000,   0.013, H, NRT
COASTAL BASINS, 09/28/2022, 1100,   0.066, H, NRT
COASTAL BASINS, 09/28/2022, 1200,   0.037, H, NRT
COASTAL BASINS, 09/28/2022, 1300,   0.031, H, NRT
COASTAL BASINS, 09/28/2022, 1400,   0.062, H, NRT
COASTAL BASINS, 09/28/2022, 1500,   0.008, H, NRT
COASTAL BASINS, 09/28/2022, 1600,   0.014, H, NRT
COASTAL BASINS, 09/28/2022, 1700,   0.009, H, NRT
COASTAL BASINS, 09/28/2022, 1800,   0.035, H, NRT
COASTAL BASINS, 09/28/2022, 1900,   0.009, H, NRT
COASTAL BASINS, 09/28/2022, 2000,   0.000, H, NRT
COASTAL BASINS, 09/28/2022, 2100,   0.000, H, NRT
COASTAL BASINS, 09/28/2022, 2200,   0.000, H, NRT
COASTAL BASINS, 09/28/2022, 2300,   0.000, H, NRT
COASTAL PEACE RIVER, 09/28/2022, 0000,   0.047, H, NRT
COASTAL PEACE RIVER, 09/28/2022, 0100,   0.115, H, NRT
COASTAL PEACE RIVER, 09/28/2022, 0200,   0.362, H, NRT
COASTAL PEACE RIVER, 09/28/2022, 0300,   0.382, H, NRT
COASTAL PEACE RIVER, 09/28/2022, 0400,   0.469, H, NRT
COASTAL PEACE RIVER, 09/28/2022, 0500,   0.449, H, NRT
COASTAL PEACE RIVER, 09/28/2022, 0600,   0.178, H, NRT
COASTAL PEACE RIVER, 09/28/2022, 0700,   0.439, H, NRT
COASTAL PEACE RIVER, 09/28/2022, 0800,   0.213, H, NRT
COASTAL PEACE RIVER, 09/28/2022, 0900,   0.300, H, NRT
COASTAL PEACE RIVER, 09/28/2022, 1000,   0.168, H, NRT
COASTAL PEACE RIVER, 09/28/2022, 1100,   0.102, H, NRT
COASTAL PEACE RIVER, 09/28/2022, 1200,   0.152, H, NRT
COASTAL PEACE RIVER, 09/28/2022, 1300,   0.909, H, NRT
COASTAL PEACE RIVER, 09/28/2022, 1400,   1.065, H, NRT
COASTAL PEACE RIVER, 09/28/2022, 1500,   0.099, H, NRT
COASTAL PEACE RIVER, 09/28/2022, 1600,   0.059, H, NRT
COASTAL PEACE RIVER, 09/28/2022, 1700,   0.237, H, NRT
COASTAL PEACE RIVER, 09/28/2022, 1800,   0.178, H, NRT
COASTAL PEACE RIVER, 09/28/2022, 1900,   0.304, H, NRT
COASTAL PEACE RIVER, 09/28/2022, 2000,   0.571, H, NRT
COASTAL PEACE RIVER, 09/28/2022, 2100,   0.108, H, NRT
COASTAL PEACE RIVER, 09/28/2022, 2200,   0.001, H, NRT
COCOHATCHEE, 09/28/2022, 0000,   0.059, H, NRT
COCOHATCHEE, 09/28/2022, 0100,   0.102, H, NRT
COCOHATCHEE, 09/28/2022, 0200,   0.083, H, NRT
COCOHATCHEE, 09/28/2022, 0300,   0.269, H, NRT
COCOHATCHEE, 09/28/2022, 0400,   0.129, H, NRT
COCOHATCHEE, 09/28/2022, 0500,   0.050, H, NRT
COCOHATCHEE, 09/28/2022, 0600,   0.182, H, NRT
COCOHATCHEE, 09/28/2022, 0700,   0.505, H, NRT
COCOHATCHEE, 09/28/2022, 0800,   0.157, H, NRT
COCOHATCHEE, 09/28/2022, 0900,   0.019, H, NRT
COCOHATCHEE, 09/28/2022, 1000,   0.018, H, NRT
COCOHATCHEE, 09/28/2022, 1100,   0.103, H, NRT
COCOHATCHEE, 09/28/2022, 1200,   0.084, H, NRT
COCOHATCHEE, 09/28/2022, 1300,   0.084, H, NRT
COCOHATCHEE, 09/28/2022, 1400,   0.221, H, NRT
COCOHATCHEE, 09/28/2022, 1500,   0.020, H, NRT
COCOHATCHEE, 09/28/2022, 1600,   0.002, H, NRT
COCOHATCHEE, 09/28/2022, 1700,   0.052, H, NRT
COCOHATCHEE, 09/28/2022, 1800,   0.130, H, NRT
COCOHATCHEE, 09/28/2022, 1900,   0.003, H, NRT
COCOHATCHEE, 09/28/2022, 2100,   0.000, H, NRT
CONSERVATION AREA 1, 09/28/2022, 0000,   0.045, H, NRT
CONSERVATION AREA 1, 09/28/2022, 0100,   0.092, H, NRT
CONSERVATION AREA 1, 09/28/2022, 0200,   0.052, H, NRT
CONSERVATION AREA 1, 09/28/2022, 0300,   0.260, H, NRT
CONSERVATION AREA 1, 09/28/2022, 0400,   0.512, H, NRT
CONSERVATION AREA 1, 09/28/2022, 0500,   0.033, H, NRT
CONSERVATION AREA 1, 09/28/2022, 0600,   0.001, H, NRT
CONSERVATION AREA 1, 09/28/2022, 0700,   0.020, H, NRT
CONSERVATION AREA 1, 09/28/2022, 0800,   0.025, H, NRT
CONSERVATION AREA 1, 09/28/2022, 0900,   0.020, H, NRT
CONSERVATION AREA 1, 09/28/2022, 1100,   0.003, H, NRT
CONSERVATION AREA 1, 09/28/2022, 1200,   0.036, H, NRT
CONSERVATION AREA 1, 09/28/2022, 1300,   0.000, H, NRT
CONSERVATION AREA 1, 09/28/2022, 1400,   0.000, H, NRT
CONSERVATION AREA 1, 09/28/2022, 1500,   0.077, H, NRT
CONSERVATION AREA 1, 10/02/2022, 0100,   0.001, H, NRT
CONSERVATION AREA 1, 10/02/2022, 0200,   0.000, H, NRT
CONSERVATION AREA 2A, 09/28/2022, 0000,   0.049, H, NRT
CONSERVATION AREA 2A, 09/28/2022, 0100,   0.141, H, NRT
CONSERVATION AREA 2A, 09/28/2022, 0200,   0.350, H, NRT
CONSERVATION AREA 2A, 09/28/2022, 0300,   0.022, H, NRT
CONSERVATION AREA 2A, 09/28/2022, 0400,   0.023, H, NRT
CONSERVATION AREA 2A, 09/28/2022, 0500,   0.000, H, NRT
CONSERVATION AREA 2A, 09/28/2022, 0600,   0.000, H, NRT
CONSERVATION AREA 2A, 09/28/2022, 0800,   0.001, H, NRT
CONSERVATION AREA 2A, 09/28/2022, 0900,   0.001, H, NRT
CONSERVATION AREA 2A, 09/28/2022, 1100,   0.024, H, NRT
CONSERVATION AREA 2A, 09/28/2022, 1200,   0.027, H, NRT
CONSERVATION AREA 2A, 09/28/2022, 1300,   0.000, H, NRT
CONSERVATION AREA 2A, 09/28/2022, 1400,   0.015, H, NRT
CONSERVATION AREA 2A, 09/28/2022, 1500,   0.081, H, NRT
CONSERVATION AREA 2A, 09/30/2022, 2000,   0.004, H, NRT
CONSERVATION AREA 2A, 09/30/2022, 2100,   0.000, H, NRT
CONSERVATION AREA 2A, 10/02/2022, 0100,   0.000, H, NRT
CONSERVATION AREA 2B, 09/28/2022, 0000,   0.126, H, NRT
CONSERVATION AREA 2B, 09/28/2022, 0100,   0.156, H, NRT
CONSERVATION AREA 2B, 09/28/2022, 0200,   0.225, H, NRT
CONSERVATION AREA 2B, 09/28/2022, 0300,   0.035, H, NRT
CONSERVATION AREA 2B, 09/28/2022, 0400,   0.031, H, NRT
CONSERVATION AREA 2B, 09/28/2022, 0600,   0.002, H, NRT
CONSERVATION AREA 2B, 09/28/2022, 0800,   0.000, H, NRT
CONSERVATION AREA 2B, 09/28/2022, 0900,   0.000, H, NRT
CONSERVATION AREA 2B, 09/28/2022, 1100,   0.007, H, NRT
CONSERVATION AREA 2B, 09/28/2022, 1200,   0.018, H, NRT
CONSERVATION AREA 2B, 09/28/2022, 1400,   0.001, H, NRT
CONSERVATION AREA 2B, 09/28/2022, 1500,   0.149, H, NRT
CONSERVATION AREA 2B, 09/30/2022, 2000,   0.021, H, NRT
CONSERVATION AREA 2B, 09/30/2022, 2100,   0.011, H, NRT
CONSERVATION AREA 2B, 10/02/2022, 0600,   0.000, H, NRT
CONSERVATION AREA 3A, 09/28/2022, 0000,   0.118, H, NRT
CONSERVATION AREA 3A, 09/28/2022, 0100,   0.180, H, NRT
CONSERVATION AREA 3A, 09/28/2022, 0200,   0.107, H, NRT
CONSERVATION AREA 3A, 09/28/2022, 0300,   0.000, H, NRT
CONSERVATION AREA 3A, 09/28/2022, 0400,   0.001, H, NRT
CONSERVATION AREA 3A, 09/28/2022, 0500,   0.007, H, NRT
CONSERVATION AREA 3A, 09/28/2022, 0600,   0.000, H, NRT
CONSERVATION AREA 3A, 09/28/2022, 0800,   0.001, H, NRT
CONSERVATION AREA 3A, 09/28/2022, 0900,   0.015, H, NRT
CONSERVATION AREA 3A, 09/28/2022, 1000,   0.074, H, NRT
CONSERVATION AREA 3A, 09/28/2022, 1100,   0.044, H, NRT
CONSERVATION AREA 3A, 09/28/2022, 1200,   0.020, H, NRT
CONSERVATION AREA 3A, 09/28/2022, 1300,   0.038, H, NRT
CONSERVATION AREA 3A, 09/28/2022, 1400,   0.053, H, NRT
CONSERVATION AREA 3A, 09/28/2022, 1500,   0.001, H, NRT
CONSERVATION AREA 3A, 09/28/2022, 1700,   0.000, H, NRT
CONSERVATION AREA 3A, 09/28/2022, 1800,   0.000, H, NRT
CONSERVATION AREA 3A, 09/28/2022, 1900,   0.000, H, NRT
CONSERVATION AREA 3A, 09/28/2022, 2000,   0.000, H, NRT
CONSERVATION AREA 3A, 09/30/2022, 2000,   0.001, H, NRT
CONSERVATION AREA 3A, 09/30/2022, 2100,   0.002, H, NRT
CONSERVATION AREA 3A, 10/01/2022, 1900,   0.000, H, NRT
CONSERVATION AREA 3A, 10/02/2022, 0400,   0.000, H, NRT
CONSERVATION AREA 3A, 10/02/2022, 0700,   0.000, H, NRT
CONSERVATION AREA 3B, 09/28/2022, 0000,   0.099, H, NRT
CONSERVATION AREA 3B, 09/28/2022, 0100,   0.128, H, NRT
CONSERVATION AREA 3B, 09/28/2022, 0200,   0.070, H, NRT
CONSERVATION AREA 3B, 09/28/2022, 0400,   0.000, H, NRT
CONSERVATION AREA 3B, 09/28/2022, 0500,   0.014, H, NRT
CONSERVATION AREA 3B, 09/28/2022, 0600,   0.000, H, NRT
CONSERVATION AREA 3B, 09/28/2022, 0800,   0.000, H, NRT
CONSERVATION AREA 3B, 09/28/2022, 1000,   0.030, H, NRT
CONSERVATION AREA 3B, 09/28/2022, 1100,   0.029, H, NRT
CONSERVATION AREA 3B, 09/28/2022, 1200,   0.049, H, NRT
CONSERVATION AREA 3B, 09/28/2022, 1300,   0.010, H, NRT
CONSERVATION AREA 3B, 09/28/2022, 1400,   0.122, H, NRT
CONSERVATION AREA 3B, 09/28/2022, 1500,   0.039, H, NRT
CONSERVATION AREA 3B, 09/28/2022, 1800,   0.000, H, NRT
CONSERVATION AREA 3B, 09/28/2022, 1900,   0.000, H, NRT
CONSERVATION AREA 3B, 09/28/2022, 2000,   0.001, H, NRT
CONSERVATION AREA 3B, 09/29/2022, 2100,   0.000, H, NRT
CONSERVATION AREA 3B, 09/29/2022, 2200,   0.000, H, NRT
CONSERVATION AREA 3B, 09/30/2022, 2000,   0.001, H, NRT
CONSERVATION AREA 3B, 09/30/2022, 2100,   0.008, H, NRT
CONSERVATION AREA 3B, 09/30/2022, 2200,   0.003, H, NRT
CONSERVATION AREA 3B, 09/30/2022, 2300,   0.000, H, NRT
CONSERVATION AREA 3B, 10/01/2022, 0000,   0.000, H, NRT
CONSERVATION AREA 3B, 10/01/2022, 0100,   0.000, H, NRT
CONSERVATION AREA 3B, 10/01/2022, 0200,   0.000, H, NRT
CONSERVATION AREA 3B, 10/01/2022, 0300,   0.000, H, NRT
CONSERVATION AREA 3B, 10/01/2022, 0400,   0.000, H, NRT
CONSERVATION AREA 3B, 10/02/2022, 0600,   0.000, H, NRT
CORAL REEF, 09/28/2022, 0000,   0.036, H, NRT
CORAL REEF, 09/28/2022, 0100,   0.042, H, NRT
CORAL REEF, 09/28/2022, 0200,   0.080, H, NRT
CORAL REEF, 09/28/2022, 0300,   0.179, H, NRT
CORAL REEF, 09/28/2022, 0400,   0.260, H, NRT
CORAL REEF, 09/28/2022, 0500,   0.133, H, NRT
CORAL REEF, 09/28/2022, 0600,   0.088, H, NRT
CORAL REEF, 09/28/2022, 0700,   0.011, H, NRT
CORAL REEF, 09/28/2022, 0800,   0.000, H, NRT
CORAL REEF, 09/28/2022, 0900,   0.046, H, NRT
CORAL REEF, 09/28/2022, 1000,   0.024, H, NRT
CORAL REEF, 09/28/2022, 1200,   0.000, H, NRT
CORAL REEF, 09/28/2022, 1300,   0.001, H, NRT
CORAL REEF, 09/28/2022, 1400,   0.000, H, NRT
CORAL REEF, 09/28/2022, 1500,   0.001, H, NRT
CORAL REEF, 09/28/2022, 1600,   0.007, H, NRT
CORAL REEF, 09/28/2022, 2300,   0.000, H, NRT
CORAL REEF, 09/29/2022, 0000,   0.000, H, NRT
CORAL REEF, 09/30/2022, 2000,   0.000, H, NRT
CORAL REEF, 09/30/2022, 2100,   0.003, H, NRT
CORAL REEF, 10/01/2022, 2300,   0.039, H, NRT
CORAL REEF, 10/02/2022, 0000,   0.058, H, NRT
CORAL REEF, 10/02/2022, 0100,   0.062, H, NRT
CORAL REEF, 10/02/2022, 0200,   0.096, H, NRT
CORAL REEF, 10/02/2022, 0300,   0.054, H, NRT
CORAL REEF, 10/02/2022, 0400,   0.039, H, NRT
CORAL REEF, 10/02/2022, 0500,   0.035, H, NRT
CORAL REEF, 10/02/2022, 0600,   0.002, H, NRT
DA-1-REVISAR, 09/28/2022, 0100,   0.008, H, NRT
DA-1-REVISAR, 09/28/2022, 0200,   0.011, H, NRT
DA-1-REVISAR, 09/28/2022, 0300,   0.051, H, NRT
DA-1-REVISAR, 09/28/2022, 0400,   0.001, H, NRT
DA-1-REVISAR, 09/28/2022, 0600,   0.017, H, NRT
DA-1-REVISAR, 09/28/2022, 1200,   0.007, H, NRT
DA-1-REVISAR, 09/28/2022, 1500,   0.067, H, NRT
DA-1-REVISAR, 09/28/2022, 1600,   0.005, H, NRT
DA-1-REVISAR, 10/01/2022, 2000,   0.000, H, NRT
DA-2-REVISAR, 09/28/2022, 0000,   0.019, H, NRT
DA-2-REVISAR, 09/28/2022, 0100,   0.013, H, NRT
DA-2-REVISAR, 09/28/2022, 0200,   0.012, H, NRT
DA-2-REVISAR, 09/28/2022, 0300,   0.015, H, NRT
DA-2-REVISAR, 09/28/2022, 0600,   0.004, H, NRT
DA-2-REVISAR, 09/28/2022, 1200,   0.066, H, NRT
DA-2-REVISAR, 09/28/2022, 1500,   0.106, H, NRT
DA-2-REVISAR, 09/28/2022, 1600,   0.016, H, NRT
DA-2-REVISAR, 10/01/2022, 2300,   0.003, H, NRT
DA-3-REVISAR, 09/28/2022, 0000,   0.232, H, NRT
DA-3-REVISAR, 09/28/2022, 0100,   0.029, H, NRT
DA-3-REVISAR, 09/28/2022, 0200,   0.005, H, NRT
DA-3-REVISAR, 09/28/2022, 0300,   0.015, H, NRT
DA-3-REVISAR, 09/28/2022, 1200,   0.023, H, NRT
DA-3-REVISAR, 09/28/2022, 1500,   0.252, H, NRT
DA-3-REVISAR, 09/28/2022, 1600,   0.036, H, NRT
DA-3-REVISAR, 09/28/2022, 1900,   0.000, H, NRT
DA-3-REVISAR, 10/01/2022, 2300,   0.000, H, NRT
DA-4, 09/28/2022, 0000,   0.032, H, NRT
DA-4, 09/28/2022, 0100,   0.059, H, NRT
DA-4, 09/28/2022, 0200,   0.000, H, NRT
DA-4, 09/28/2022, 0300,   0.005, H, NRT
DA-4, 09/28/2022, 0500,   0.003, H, NRT
DA-4, 09/28/2022, 0800,   0.001, H, NRT
DA-4, 09/28/2022, 1200,   0.011, H, NRT
DA-4, 09/28/2022, 1500,   0.036, H, NRT
DA-4, 09/28/2022, 1600,   0.017, H, NRT
DA-4, 09/28/2022, 1900,   0.001, H, NRT
DA-4, 09/28/2022, 2000,   0.011, H, NRT
DA-4, 09/28/2022, 2100,   0.001, H, NRT
DA-4, 09/28/2022, 2300,   0.007, H, NRT
DA-4, 10/01/2022, 2200,   0.000, H, NRT
DA-4, 10/01/2022, 2300,   0.005, H, NRT
DA-4, 10/02/2022, 0000,   0.000, H, NRT
DA-4, 10/02/2022, 0100,   0.000, H, NRT
DA-4, 10/02/2022, 0200,   0.004, H, NRT
DA-4, 10/02/2022, 0300,   0.000, H, NRT
DA-4, 10/02/2022, 0400,   0.000, H, NRT
DA-4, 10/02/2022, 0500,   0.001, H, NRT
EAST CALOOSAHATCHEE, 09/28/2022, 0000,   0.036, H, NRT
EAST CALOOSAHATCHEE, 09/28/2022, 0100,   0.338, H, NRT
EAST CALOOSAHATCHEE, 09/28/2022, 0200,   0.112, H, NRT
EAST CALOOSAHATCHEE, 09/28/2022, 0300,   0.026, H, NRT
EAST CALOOSAHATCHEE, 09/28/2022, 0600,   0.010, H, NRT
EAST CALOOSAHATCHEE, 09/28/2022, 0700,   0.004, H, NRT
EAST CALOOSAHATCHEE, 09/28/2022, 0800,   0.002, H, NRT
EAST CALOOSAHATCHEE, 09/28/2022, 0900,   0.071, H, NRT
EAST CALOOSAHATCHEE, 09/28/2022, 1000,   0.169, H, NRT
EAST CALOOSAHATCHEE, 09/28/2022, 1100,   0.005, H, NRT
EAST CALOOSAHATCHEE, 09/28/2022, 1200,   0.012, H, NRT
EAST CALOOSAHATCHEE, 09/28/2022, 1300,   0.000, H, NRT
EAST CALOOSAHATCHEE, 09/28/2022, 1400,   0.006, H, NRT
EAST CALOOSAHATCHEE, 09/28/2022, 1500,   0.003, H, NRT
EAST CALOOSAHATCHEE, 09/28/2022, 1600,   0.001, H, NRT
EAST CALOOSAHATCHEE, 09/28/2022, 1700,   0.002, H, NRT
EAST COLLIER, 09/28/2022, 0000,   0.020, H, NRT
EAST COLLIER, 09/28/2022, 0100,   0.003, H, NRT
EAST COLLIER, 09/28/2022, 0200,   0.000, H, NRT
EAST COLLIER, 09/28/2022, 0300,   0.007, H, NRT
EAST COLLIER, 09/28/2022, 0400,   0.003, H, NRT
EAST COLLIER, 09/28/2022, 0500,   0.043, H, NRT
EAST COLLIER, 09/28/2022, 0600,   0.069, H, NRT
EAST COLLIER, 09/28/2022, 0700,   0.037, H, NRT
EAST COLLIER, 09/28/2022, 0800,   0.045, H, NRT
EAST COLLIER, 09/28/2022, 0900,   0.306, H, NRT
EAST COLLIER, 09/28/2022, 1000,   0.122, H, NRT
EAST COLLIER, 09/28/2022, 1100,   0.052, H, NRT
EAST COLLIER, 09/28/2022, 1200,   0.043, H, NRT
EAST COLLIER, 09/28/2022, 1300,   0.015, H, NRT
EAST COLLIER, 09/28/2022, 1400,   0.002, H, NRT
EAST COLLIER, 09/28/2022, 1600,   0.003, H, NRT
EAST COLLIER, 09/28/2022, 1700,   0.019, H, NRT
EAST COLLIER, 09/28/2022, 1800,   0.023, H, NRT
EAST COLLIER, 09/28/2022, 1900,   0.010, H, NRT
EAST COLLIER, 09/28/2022, 2000,   0.001, H, NRT
EAST COLLIER, 09/28/2022, 2100,   0.000, H, NRT
EAST COLLIER, 09/28/2022, 2200,   0.000, H, NRT
EAST COLLIER, 09/28/2022, 2300,   0.000, H, NRT
EAST COLLIER, 10/01/2022, 0100,   0.000, H, NRT
EAST COLLIER, 10/01/2022, 1900,   0.000, H, NRT
EAST COLLIER, 10/01/2022, 2000,   0.000, H, NRT
EAST COLLIER, 10/01/2022, 2100,   0.000, H, NRT
EAST LAKE TOHOPEKALIGA, 09/28/2022, 0000,   0.008, H, NRT
EAST LAKE TOHOPEKALIGA, 09/28/2022, 0100,   0.015, H, NRT
EAST LAKE TOHOPEKALIGA, 09/28/2022, 0200,   0.037, H, NRT
EAST LAKE TOHOPEKALIGA, 09/28/2022, 0300,   0.051, H, NRT
EAST LAKE TOHOPEKALIGA, 09/28/2022, 0400,   0.101, H, NRT
EAST LAKE TOHOPEKALIGA, 09/28/2022, 0500,   0.148, H, NRT
EAST LAKE TOHOPEKALIGA, 09/28/2022, 0600,   0.051, H, NRT
EAST LAKE TOHOPEKALIGA, 09/28/2022, 0700,   0.087, H, NRT
EAST LAKE TOHOPEKALIGA, 09/28/2022, 0800,   0.097, H, NRT
EAST LAKE TOHOPEKALIGA, 09/28/2022, 0900,   0.068, H, NRT
EAST LAKE TOHOPEKALIGA, 09/28/2022, 1000,   0.081, H, NRT
EAST LAKE TOHOPEKALIGA, 09/28/2022, 1100,   0.012, H, NRT
EAST LAKE TOHOPEKALIGA, 09/28/2022, 1300,   0.047, H, NRT
EAST LAKE TOHOPEKALIGA, 09/28/2022, 1400,   0.702, H, NRT
EAST LAKE TOHOPEKALIGA, 09/28/2022, 1500,   1.066, H, NRT
